Sleeper_Player_ID,Player,Position,Team,NFL Team,Age,Rookie_Year,Rookie,Sophomore,Rostered,Proj_1yr,Proj_3yr,Proj_5yr,Proj_Career,Tier,BreakoutProb,BreakoutFlag,Draft_Round,Overall_Pick,Expected_Proj_Career
13175,Kinkead Dent,QB,FA,JAX,24,0,1,0,0,0.0,0.0,0.0,0.0,Bench,31.729,False,,,
13221,Brett Gabbert,QB,FA,MIA,24,0,1,0,0,0.0,0.0,0.0,0.0,Bench,31.729,False,,,
8809,Aaron Shampklin,RB,FA,FA,25,2022,0,0,0,10.8,10.4,10.1,28.8,Bench,38.678,True,,,
9487,Parker Washington,WR,FA,JAX,23,2023,0,0,0,73.0,57.7,57.8,32.7,Bench,44.413,False,6.0,185.0,
6918,Salvon Ahmed,RB,FA,IND,26,2020,0,0,0,40.3,33.0,37.1,29.6,Bench,33.964,True,,,
6786,CeeDee Lamb,WR,nilmaven,DAL,26,2020,0,0,1,264.4,302.8,288.9,266.9,A,50.256,False,,,
5038,Michael Gallup,WR,FA,WAS,29,2018,0,0,0,71.5,76.1,90.1,30.6,Bench,52.594,False,,,
11584,Bucky Irving,RB,Haxen2000,TB,22,2024,0,1,1,232.0,232.9,233.6,207.1,B,41.564,False,4.0,125.0,
6783,Jerry Jeudy,WR,boxerschwartz,CLE,26,2020,0,0,1,228.3,199.2,186.4,193.6,B,50.256,False,,,
11616,Jacob Cowing,WR,FA,SF,24,2024,0,1,0,17.8,18.6,19.0,34.3,Bench,42.834,True,4.0,135.0,
5965,Miles Boykin,WR,FA,CHI,28,2019,0,0,0,14.0,11.4,19.6,26.3,Bench,60.344,True,,,
13064,Dorian Singer,WR,FA,JAX,22,0,1,0,0,0.0,0.0,0.0,0.0,Bench,50.085,False,,,
4992,Dante Pettis,WR,FA,NO,29,2018,0,0,0,32.4,39.1,36.4,30.6,Bench,52.594,False,,,
9504,Kayshon Boutte,WR,ShrynoRyno,NE,23,2023,0,0,1,94.6,59.4,59.6,32.7,Bench,44.413,False,6.0,187.0,
4038,John Ross,WR,FA,FA,29,2017,0,0,0,11.2,17.5,26.9,25.0,Bench,52.594,False,,,
12507,Omarion Hampton,RB,FA,LAC,22,0,1,0,0,102.9,103.6,104.1,104.3,Flex,41.564,False,1.0,22.0,103.6
11439,Jaleel McLaughlin,RB,ShrynoRyno,DEN,24,2023,0,0,1,104.3,110.2,112.3,109.7,Flex,37.144,True,,,
5122,Boston Scott,RB,FA,FA,30,2018,0,0,0,18.4,38.6,46.8,29.5,Bench,48.916,False,,,
11629,Devontez Walker,WR,FA,BAL,23,2024,0,1,0,15.6,15.9,16.0,32.7,Bench,44.413,False,4.0,113.0,
2320,Melvin Gordon,RB,FA,FA,32,2015,0,0,0,21.7,65.3,82.4,31.5,Bench,52.267,False,,,
12493,Oronde Gadsden,TE,FA,LAC,21,0,1,0,0,91.0,93.1,94.7,92.1,Flex,40.975,False,5.0,165.0,94.4
12699,LaJohntay Wester,WR,FA,BAL,23,0,1,0,0,111.4,111.7,111.7,111.6,Flex,44.413,False,6.0,203.0,110.5
7553,Kyle Pitts,TE,jrroblestn,ATL,24,2021,0,0,1,131.5,123.9,129.0,131.6,C,17.131,False,,,
11304,E.J. Jenkins,TE,FA,PHI,26,2023,0,0,0,13.5,13.9,14.2,26.3,Bench,20.453,True,,,
19,Joe Flacco,QB,FA,CLE,40,2008,0,0,0,114.3,103.6,91.8,37.6,Bench,37.213,False,,,
12967,Jacolby George,WR,FA,CAR,22,0,1,0,0,0.0,0.0,0.0,0.0,Bench,50.085,False,,,
4054,Mo Alie-Cox,TE,FA,IND,31,2017,0,0,0,30.4,37.6,43.0,25.0,Bench,27.811,False,,,
13108,Julian Fleming,WR,FA,GB,24,0,1,0,0,0.0,0.0,0.0,0.0,Bench,42.834,True,,,
3423,Robbie Chosen,WR,FA,FA,32,2016,0,0,0,10.9,20.0,39.1,24.0,Bench,73.352,False,,,
12848,Josh Kelly,WR,FA,DAL,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,44.413,False,,,
11157,Brycen Tremayne,WR,FA,CAR,25,2023,0,0,0,10.8,11.2,11.5,34.2,Bench,45.305,True,,,
6908,La'Mical Perine,RB,FA,FA,27,2020,0,0,0,18.5,22.4,22.8,26.3,Bench,42.505,True,,,
8116,Pierre Strong,RB,FA,CLE,26,2022,0,0,0,34.6,35.7,36.1,29.6,Bench,33.964,True,4.0,127.0,
7585,Davis Mills,QB,FA,HOU,26,2021,0,0,0,23.5,68.1,84.4,38.1,Bench,37.266,True,,,
2359,Ameer Abdullah,RB,FA,FA,32,2015,0,0,0,95.5,65.5,63.9,31.5,Bench,52.267,False,,,
5854,Drew Lock,QB,FA,SEA,28,2019,0,0,0,92.1,70.7,89.7,35.6,Bench,40.053,True,,,
7593,Trey Sermon,RB,FA,PIT,26,2021,0,0,0,48.3,32.0,32.1,29.6,Bench,33.964,True,,,
11579,Audric Estime,RB,jrroblestn,DEN,21,2024,0,1,1,48.0,46.6,45.4,31.0,Bench,52.734,False,5.0,147.0,
3294,Dak Prescott,QB,ShrynoRyno,DAL,31,2016,0,0,1,215.2,304.9,311.3,339.0,C,39.707,False,,,
421,Matthew Stafford,QB,nilmaven,LAR,37,2009,0,0,1,281.7,270.2,293.2,246.0,Flex,42.228,False,,,
11636,Johnny Wilson,WR,FA,PHI,24,2024,0,1,0,20.9,21.7,22.2,34.3,Bench,42.834,True,6.0,185.0,
8134,Khalil Shakir,WR,nilmaven,BUF,25,2022,0,0,1,144.3,106.2,108.2,34.2,Bench,45.305,True,5.0,148.0,
7828,Noah Gray,TE,jrroblestn,KC,26,2021,0,0,1,114.3,99.7,93.9,100.5,Flex,20.453,True,,,
11557,Joe Milton,QB,FA,DAL,25,2024,0,1,0,33.5,33.2,32.8,39.9,Bench,35.857,True,6.0,193.0,
5995,Justice Hill,RB,FA,BAL,27,2019,0,0,0,101.6,85.4,74.9,29.6,Bench,42.505,True,,,
12517,Colston Loveland,TE,FA,CHI,21,0,1,0,0,91.0,93.1,94.7,95.4,Flex,40.975,False,1.0,10.0,95.3
8138,James Cook,RB,ShrynoRyno,BUF,25,2022,0,0,1,236.7,203.6,203.3,162.1,C,38.678,False,2.0,63.0,
9231,Jaren Hall,QB,FA,FA,27,2023,0,0,0,17.3,16.9,16.4,36.6,Bench,36.679,True,5.0,164.0,
8119,Jahan Dotson,WR,FA,PHI,25,2022,0,0,0,41.0,78.1,79.6,34.2,Bench,45.305,True,1.0,16.0,
6075,Jesper Horsted,TE,FA,FA,28,2019,0,0,0,8.9,12.5,14.3,26.3,Bench,23.525,True,,,
7049,Jauan Jennings,WR,ShrynoRyno,SF,27,2020,0,0,1,165.2,108.4,105.5,33.5,Bench,53.362,True,,,
8136,Rachaad White,RB,nilmaven,TB,26,2022,0,0,1,189.6,195.8,195.5,161.5,C,33.964,False,3.0,91.0,
11610,Malik Washington,WR,sportzballz,MIA,24,2024,0,1,1,50.3,51.9,53.0,34.3,Bench,42.834,True,6.0,184.0,
4943,Sam Darnold,QB,sportzballz,SEA,28,2018,0,0,1,331.2,185.1,183.6,35.6,Bench,40.053,True,,,
10228,Charlie Jones,WR,FA,CIN,26,2023,0,0,0,10.0,15.3,15.6,33.9,Bench,50.256,True,4.0,131.0,
829,Andy Dalton,QB,FA,CAR,37,2011,0,0,0,71.8,83.5,91.2,35.0,Bench,42.228,False,,,
10222,Jayden Reed,WR,NevadaLou,GB,25,2023,0,0,1,207.9,214.0,214.0,230.9,B,45.305,False,2.0,50.0,
11311,Jason Brownlee,WR,FA,KC,26,2023,0,0,0,22.6,23.3,23.8,33.9,Bench,50.256,True,,,
12532,Ja'Corey Brooks,WR,FA,WAS,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,44.413,False,,,
11370,Chris Brooks,RB,FA,GB,25,2023,0,0,0,40.6,30.7,30.9,28.8,Bench,38.678,True,,,
7794,Chris Evans,RB,FA,FA,27,2021,0,0,0,9.7,20.4,20.7,26.3,Bench,42.505,True,,,
7606,Kadarius Toney,WR,FA,FA,26,2021,0,0,0,8.6,32.9,39.1,33.9,Bench,50.256,True,,,
6927,Quez Watkins,WR,FA,ARI,27,2020,0,0,0,36.3,63.4,59.8,33.5,Bench,53.362,True,,,
8111,Cade Otton,TE,Bakari2,TB,26,2022,0,0,1,134.4,124.3,126.6,100.5,Flex,20.453,True,4.0,106.0,
3269,Chris Moore,WR,FA,WAS,32,2016,0,0,0,9.8,17.2,26.4,24.0,Bench,73.352,False,,,
6970,Stephen Sullivan,TE,FA,CAR,28,2020,0,0,0,7.9,15.4,14.1,26.3,Bench,23.525,True,,,
12866,Jalin Conyers,TE,FA,MIA,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,17.697,False,,,
1034,Brandon Bolden,RB,FA,FA,35,2012,0,0,0,18.0,39.9,40.0,36.0,Bench,76.05,False,,,
11647,Kimani Vidal,RB,FA,LAC,23,2024,0,1,0,35.7,35.6,35.4,29.3,Bench,40.482,True,6.0,181.0,
7608,Khalil Herbert,RB,FA,IND,27,2021,0,0,0,31.3,66.8,68.1,29.6,Bench,42.505,True,,,
6402,Steven Sims,WR,FA,SEA,28,2019,0,0,0,9.1,14.3,16.7,26.3,Bench,60.344,True,,,
8484,Ko Kieft,TE,FA,TB,27,2022,0,0,0,7.8,13.4,13.7,26.2,Bench,21.036,True,6.0,218.0,
9488,Jaxon Smith-Njigba,WR,MLeitheiser,SEA,23,2023,0,0,1,229.6,198.3,198.1,171.8,C,44.413,False,1.0,20.0,
11571,Isaiah Davis,RB,FA,NYJ,23,2024,0,1,0,45.4,45.6,45.5,29.3,Bench,40.482,True,5.0,173.0,
7526,Jaylen Waddle,WR,jrroblestn,MIA,26,2021,0,0,1,164.4,192.6,197.5,193.6,B,50.256,False,,,
12820,Landon Parker,WR,FA,IND,25,0,1,0,0,0.0,0.0,0.0,0.0,Bench,45.305,True,,,
345,Brian Hoyer,QB,FA,FA,39,2009,0,0,0,16.8,14.3,15.5,25.9,Bench,43.172,False,,,
6820,Clyde Edwards-Helaire,RB,FA,NO,26,2020,0,0,0,16.1,46.0,61.6,29.6,Bench,33.964,True,,,
7713,Jaelon Darden,WR,FA,FA,26,2021,0,0,0,11.5,12.1,13.3,33.9,Bench,50.256,True,,,
2197,Brandin Cooks,WR,FA,NO,31,2014,0,0,0,87.1,123.0,139.3,127.4,Flex,70.867,False,,,
5870,Daniel Jones,QB,FA,IND,28,2019,0,0,0,202.6,212.2,223.4,242.3,Flex,40.053,True,,,
7064,Darrynton Evans,RB,FA,BUF,26,2020,0,0,0,9.0,18.0,17.4,29.6,Bench,33.964,True,,,
5844,T.J. Hockenson,TE,boxerschwartz,MIN,27,2019,0,0,1,99.4,150.4,150.3,134.8,C,21.036,False,,,
12529,TreVeyon Henderson,RB,FA,NE,22,0,1,0,0,102.9,103.6,104.1,103.9,Flex,41.564,False,2.0,38.0,103.6
4127,C.J. Beathard,QB,FA,FA,31,2017,0,0,0,29.1,15.8,25.1,24.7,Bench,39.707,False,,,
7601,Rondale Moore,WR,FA,MIN,25,2021,0,0,0,87.4,86.4,88.1,34.2,Bench,45.305,True,,,
12535,Isaac TeSlaa,WR,FA,DET,23,0,1,0,0,111.4,111.7,111.7,111.7,Flex,44.413,False,3.0,70.0,107.8
6790,D'Andre Swift,RB,sportzballz,CHI,26,2020,0,0,1,200.0,192.6,191.7,161.5,C,33.964,False,,,
1373,Geno Smith,QB,FA,LV,34,2013,0,0,0,355.8,352.0,306.1,344.8,C,48.485,False,,,
12491,Corey Kiner,RB,FA,SF,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,40.482,True,,,
6768,Tua Tagovailoa,QB,jrroblestn,MIA,27,2020,0,0,1,278.8,320.1,305.9,332.3,C,36.679,False,,,
6130,Devin Singletary,RB,FA,NYG,27,2019,0,0,0,112.6,147.9,156.6,140.1,Flex,42.505,True,,,
6904,Jalen Hurts,QB,sportzballz,PHI,26,2020,0,0,1,411.3,439.3,417.0,463.1,A,37.266,False,,,
7538,Zach Wilson,QB,FA,MIA,25,2021,0,0,0,137.8,139.3,140.8,39.9,Bench,35.857,True,,,
7561,Elijah Mitchell,RB,FA,KC,27,2021,0,0,0,43.1,62.8,63.9,29.6,Bench,42.505,True,,,
12898,Seth Henigan,QB,FA,JAX,22,0,1,0,0,0.0,0.0,0.0,0.0,Bench,37.123,False,,,
12950,Robert Lewis,WR,FA,MIN,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,44.413,False,,,
11635,Ladd McConkey,WR,jrroblestn,LAC,23,2024,0,1,1,238.3,238.5,238.6,232.1,B,44.413,False,2.0,34.0,
12475,Ricky White,WR,FA,SEA,23,0,1,0,0,111.4,111.7,111.7,111.4,Flex,44.413,False,7.0,238.0,111.2
11806,Casey Washington,WR,FA,ATL,24,2024,0,1,0,11.7,12.3,12.6,34.3,Bench,42.834,True,6.0,187.0,
6068,Devine Ozigbo,RB,FA,FA,28,2019,0,0,0,9.1,8.7,10.2,24.5,Bench,47.425,False,,,
6111,Jake Browning,QB,FA,CIN,29,2019,0,0,0,11.9,74.7,75.6,35.0,Bench,30.581,True,,,
12965,Ethan Garbers,QB,FA,CAR,22,0,1,0,0,0.0,0.0,0.0,0.0,Bench,37.123,False,,,
13080,Deion Hankins,RB,FA,CHI,24,0,1,0,0,0.0,0.0,0.0,0.0,Bench,37.144,True,,,
5284,Jeff Wilson,RB,FA,FA,29,2018,0,0,0,14.7,44.9,50.5,28.9,Bench,45.609,False,,,
11620,Rome Odunze,WR,jrroblestn,CHI,23,2024,0,1,1,140.4,140.3,140.2,128.6,Flex,44.413,False,1.0,9.0,
10232,Michael Wilson,WR,Bakari2,ARI,25,2023,0,0,1,126.8,127.1,129.4,114.8,Flex,45.305,True,3.0,94.0,
12810,Elijhah Badger,WR,FA,KC,23,0,1,0,0,0.0,0.0,0.0,0.0,Bench,44.413,False,,,
6804,Jordan Love,QB,MLeitheiser,GB,26,2020,0,0,1,313.1,296.1,274.3,239.6,Flex,37.266,True,,,
