Age,Tier,Avg_Fantasy_Pts,Position
24,Top 10,253.95555731323032,WR
24,Top 20,218.63500154726208,WR
24,Top 30,199.45789614515868,WR
24,Top 5,326.3500022739172,WR
25,Bench,45.305305065381134,WR
25,Top 10,276.0409110598266,WR
25,Top 20,230.38823685400627,WR
25,Top 30,199.31500143520535,WR
25,Top 5,305.6277799759474,WR
26,Bench,50.255691417823556,WR
26,Top 10,268.1714305260352,WR
26,Top 20,238.20000167534903,WR
26,Top 30,205.26000147511562,WR
26,Top 5,319.7071450134473,WR
27,Bench,53.36169529347602,WR
27,Top 10,268.0700018398464,WR
27,Top 20,235.78611279258297,WR
27,Top 30,198.9526329726765,WR
27,Top 5,309.6285737263305,WR
28,Bench,60.34375043109489,WR
28,Top 10,264.4611129359239,WR
28,Top 20,236.04285872408323,WR
28,Top 30,200.10909233039075,WR
28,Top 5,336.1857165811317,WR
29,Bench,52.594311746852306,WR
29,Top 10,246.6000017821789,WR
29,Top 20,231.58571593037672,WR
29,Top 30,198.59166796940067,WR
29,Top 5,317.6900021977723,WR
30,Bench,62.79310389184232,WR
30,Top 10,264.33333504696685,WR
30,Top 20,243.50000160485507,WR
30,Top 30,195.8363650265065,WR
30,Top 5,310.3400021031499,WR
31,Bench,70.8668754986953,WR
31,Top 10,268.4333352968097,WR
31,Top 20,259.1300017781556,WR
31,Top 30,191.6500012986362,WR
31,Top 5,321.9500020556152,WR
32,Bench,73.35241986264384,WR
32,Top 10,272.25000208988786,WR
32,Top 20,267.16666849702597,WR
32,Top 30,208.3250013086945,WR
33,Bench,67.69375047041103,WR
33,Top 20,240.9125017086044,WR
33,Top 30,193.56666802614927,WR
34,Bench,75.51875052244093,WR
34,Top 10,261.65000173822045,WR
34,Top 20,269.0000020116568,WR
34,Top 30,219.60000158846375,WR
35,Bench,64.68461584643676,WR
35,Top 20,219.50000158697367,WR
35,Top 30,188.0000011175871,WR
36,Bench,108.18888958874676,WR
36,Top 30,183.20000119507316,WR
37,Bench,62.16666705658039,WR
37,Top 20,224.30000146478412,WR
38,Bench,0.0,WR
39,Bench,29.30000025779009,WR
21,Bench,40.975000244254865,TE
21,Top 10,176.60000152885914,TE
21,Top 20,142.00000090897083,TE
21,Top 30,94.70000057667494,TE
21,Top 5,154.6000008136034,TE
22,Bench,25.401695060654212,TE
22,Top 10,143.9000009521842,TE
22,Top 20,121.1750007700175,TE
22,Top 30,93.57272785427895,TE
22,Top 5,261.85000163316727,TE
23,Bench,17.696891303005305,TE
23,Top 10,163.12000089883804,TE
23,Top 20,124.4875007988885,TE
23,Top 30,87.70000054687262,TE
23,Top 5,185.8000011369586,TE
24,Bench,17.130859484284883,TE
24,Top 10,164.95000104792416,TE
24,Top 20,134.29047707397314,TE
24,Top 30,89.61176527773632,TE
24,Top 5,193.450001206249,TE
25,Bench,18.025738512256225,TE
25,Top 10,167.40000102221967,TE
25,Top 20,133.34444528983698,TE
25,Top 30,96.52666728645563,TE
25,Top 5,232.1000014618039,TE
26,Bench,20.453439285081846,TE
26,Top 10,163.21428674991643,TE
26,Top 20,139.2333342168066,TE
26,Top 30,91.61250054184347,TE
26,Top 5,223.42500144429505,TE
27,Bench,21.036148776451277,TE
27,Top 10,168.1600010752678,TE
27,Top 20,128.54166745580733,TE
27,Top 30,103.64117715244784,TE
27,Top 5,221.52500145323575,TE
28,Bench,23.52456154818075,TE
28,Top 10,176.4000011086464,TE
28,Top 20,130.93157979336223,TE
28,Top 30,102.22353005584549,TE
28,Top 5,242.4142872701798,TE
29,Bench,22.67500014109132,TE
29,Top 10,185.98000117391348,TE
29,Top 20,129.15000084889206,TE
29,Top 30,98.57333392997583,TE
29,Top 5,222.22857279862677,TE
30,Bench,24.58676484917455,TE
30,Top 10,172.80000119656324,TE
30,Top 20,133.02857233158178,TE
30,Top 30,90.90833389696975,TE
30,Top 5,212.23333482030364,TE
31,Bench,27.810526483414467,TE
31,Top 10,179.73333445191383,TE
31,Top 20,146.92500094883144,TE
31,Top 30,100.46666732678811,TE
31,Top 5,215.74285864404268,TE
32,Bench,24.365384763536547,TE
32,Top 10,167.66666776438555,TE
32,Top 20,133.7666675026218,TE
32,Top 30,117.00000077982743,TE
32,Top 5,201.0333346799016,TE
33,Bench,20.1866667787234,TE
33,Top 10,168.3500011973083,TE
33,Top 20,122.28000075221061,TE
33,Top 30,107.74000066369771,TE
33,Top 5,316.30000200122595,TE
34,Bench,13.128571498606886,TE
34,Top 10,174.50000097602606,TE
34,Top 20,131.11000082418323,TE
34,Top 30,78.4000005076329,TE
34,Top 5,221.2500013448298,TE
35,Bench,38.71666690086325,TE
35,Top 10,177.6333344305555,TE
35,Top 20,149.00000093877316,TE
35,Top 5,209.5000013038516,TE
36,Bench,38.700000159442425,TE
36,Top 10,147.80000081658363,TE
36,Top 5,234.000001385808,TE
37,Bench,39.15000018849969,TE
37,Top 20,138.55000078305602,TE
37,Top 30,79.6000004708767,TE
37,Top 5,218.90000128000972,TE
38,Bench,29.250000100582838,TE
38,Top 30,81.15000054612756,TE
39,Bench,23.600000150501728,TE
40,Bench,1.2000000029802322,TE
